,filename,num_conflict_speech,num_Iconflict_speech,num_Dconflict_speech,num_Cconflict_speech,propotion_conflict_speech,propotion_Iconflict_speech,propotion_Dconflict_speech,propotion_Cconflict_speech,num_cdus_speech,num_edus_speech,NM1_speech,NM2_speech
0,UNSC_2014_SPV.7138_spch002_edu_Russian_Federation.txt,17,8,9,0,0.3469387755102041,0.16326530612244897,0.1836734693877551,0.0,9,49,0.1836734693877551,0.01882845188284519
49,UNSC_2014_SPV.7138_spch004_edu_United_States_Of_America.txt,48,1,36,11,0.4528301886792453,0.009433962264150943,0.33962264150943394,0.10377358490566038,16,106,0.1509433962264151,0.013234077750206782
155,UNSC_2014_SPV.7138_spch005_edu_France.txt,41,0,41,0,0.36936936936936937,0.0,0.36936936936936937,0.0,7,111,0.06306306306306306,0.00426049908703591
266,UNSC_2014_SPV.7138_spch006_edu_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,5,0,5,0,0.16129032258064516,0.0,0.16129032258064516,0.0,3,31,0.0967741935483871,0.01098901098901099
297,UNSC_2014_SPV.7138_spch007_edu_Lithuania.txt,35,16,19,0,0.4666666666666667,0.21333333333333335,0.25333333333333335,0.0,5,75,0.06666666666666667,0.0057273768613974796
372,UNSC_2014_SPV.7138_spch008_edu_Rwanda.txt,21,8,13,0,0.42857142857142855,0.16326530612244897,0.2653061224489796,0.0,17,49,0.3469387755102041,0.03736263736263736
421,UNSC_2014_SPV.7138_spch009_edu_China.txt,6,0,6,0,0.13333333333333333,0.0,0.13333333333333333,0.0,11,45,0.24444444444444444,0.026066350710900472
466,UNSC_2014_SPV.7138_spch010_edu_Chile.txt,11,2,9,0,0.4782608695652174,0.08695652173913043,0.391304347826087,0.0,5,23,0.21739130434782608,0.024271844660194174
489,UNSC_2014_SPV.7138_spch011_edu_Argentina.txt,1,0,1,0,0.05,0.0,0.05,0.0,11,20,0.55,0.08270676691729323
509,UNSC_2014_SPV.7138_spch012_edu_Australia.txt,9,4,5,0,0.2903225806451613,0.12903225806451613,0.16129032258064516,0.0,10,31,0.3225806451612903,0.04
540,UNSC_2014_SPV.7138_spch013_edu_Republic_Of_Korea.txt,1,1,0,0,0.1111111111111111,0.1111111111111111,0.0,0.0,4,9,0.4444444444444444,0.07017543859649122
549,UNSC_2014_SPV.7138_spch014_edu_Nigeria.txt,6,6,0,0,0.25,0.25,0.0,0.0,6,24,0.25,0.030456852791878174
573,UNSC_2014_SPV.7138_spch015_edu_Chad.txt,0,0,0,0,0.0,0.0,0.0,0.0,5,14,0.35714285714285715,0.05263157894736842
587,UNSC_2014_SPV.7138_spch016_edu_Jordan.txt,0,0,0,0,0.0,0.0,0.0,0.0,6,7,0.8571428571428571,0.20689655172413793
594,UNSC_2014_SPV.7138_spch017_edu_Luxembourg.txt,23,7,16,0,0.3709677419354839,0.11290322580645161,0.25806451612903225,0.0,11,62,0.1774193548387097,0.014588859416445624
656,UNSC_2014_SPV.7138_spch018_edu_Ukraine.txt,20,2,14,4,0.2857142857142857,0.02857142857142857,0.2,0.05714285714285714,9,70,0.12857142857142856,0.01267605633802817
726,UNSC_2014_SPV.7138_spch020_edu_Russian_Federation.txt,25,8,10,7,0.5102040816326531,0.16326530612244897,0.20408163265306123,0.14285714285714285,26,49,0.5306122448979592,0.05895691609977324
775,UNSC_2014_SPV.7154_spch002_edu_UN.txt,0,0,0,0,0.0,0.0,0.0,0.0,9,50,0.18,0.018072289156626505
825,UNSC_2014_SPV.7154_spch004_edu_Russian_Federation.txt,16,0,16,0,0.21333333333333335,0.0,0.21333333333333335,0.0,15,75,0.2,0.01910828025477707
900,UNSC_2014_SPV.7154_spch005_edu_Lithuania.txt,48,38,10,0,0.64,0.5066666666666667,0.13333333333333333,0.0,13,75,0.17333333333333334,0.016861219195849545
975,UNSC_2014_SPV.7154_spch006_edu_United_States_Of_America.txt,35,0,13,22,0.47297297297297297,0.0,0.17567567567567569,0.2972972972972973,5,74,0.06756756756756757,0.005555555555555556
1049,UNSC_2014_SPV.7154_spch007_edu_United_Kingdom_Of_Great_Britain_And_Northern_Ireland.txt,58,0,43,15,0.7532467532467533,0.0,0.5584415584415584,0.19480519480519481,5,77,0.06493506493506493,0.005720823798627002
1126,UNSC_2014_SPV.7154_spch008_edu_France.txt,45,11,25,9,0.6338028169014085,0.15492957746478872,0.352112676056338,0.1267605633802817,11,71,0.15492957746478872,0.013871374527112233
1197,UNSC_2014_SPV.7154_spch009_edu_Rwanda.txt,1,0,1,0,0.023809523809523808,0.0,0.023809523809523808,0.0,10,42,0.23809523809523808,0.021367521367521368
