rstree_relation_leave,Challenge,Correction,Direct_NegEval,Indirect_NegEval,No_Conflict
attribution,18.29,6.29,2.84,3.85,5.13
background,1.22,0.0,0.39,0.0,1.3
enablement,0.0,0.0,0.26,0.0,0.14
evaluation,0.0,0.7,2.06,0.68,1.52
evidence,1.22,0.7,0.52,1.13,0.93
motivation,0.0,0.0,0.0,0.0,0.23
reason,0.0,0.0,1.42,0.91,1.41
antithesis,4.88,3.5,0.77,0.91,0.82
concession,1.22,0.7,2.19,1.36,1.49
contrast,2.44,1.4,1.03,0.45,0.2
cause,0.0,1.4,0.77,0.0,0.28
circumstance,0.0,0.0,2.45,2.04,1.89
condition,0.0,0.7,0.9,0.68,1.04
e-elaboration,13.41,12.59,12.63,14.74,11.3
elaboration,3.66,3.5,3.61,2.49,4.7
interpretation,0.0,0.0,0.13,0.45,0.39
means,0.0,0.0,0.39,0.23,0.14
purpose,2.44,4.2,2.96,3.17,2.79
result,0.0,0.0,1.03,2.04,0.56
preparation,2.44,0.7,0.13,0.23,1.41
restatement,0.0,0.7,0.39,0.0,1.07
summary,0.0,0.0,0.0,0.0,0.06
list,1.22,2.8,3.61,2.95,4.0
conjunction,1.22,10.49,14.56,16.33,13.92
joint,1.22,0.7,0.26,0.68,0.37
sequence,1.22,2.1,0.64,0.0,0.85
